date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:47:20	85593/85593	---M-Z	200	added ('OK')	text/html	etag:%226440001-14e59-5fa4ebff0e921-gzip%22	https://creativelayers.net/themes/findhouse-html/index.html	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/index.html	(from )
18:47:21	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Jul%202023%2013:17:20%20GMT	https://creativelayers.net/robots.txt		(from )
18:47:21	155147/155147	---M-Z	200	added ('OK')	text/css	etag:%2264402f1-25e0b-5fa4ec0b8840e-gzip%22	https://creativelayers.net/themes/findhouse-html/css/bootstrap.min.css	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/css/bootstrap.min.css	(from https://creativelayers.net/themes/findhouse-html/index.html)
18:47:21	67799/67799	---M-Z	200	added ('OK')	text/css	etag:%226440335-108d7-5fa4ec0ddbba3-gzip%22	https://creativelayers.net/themes/findhouse-html/css/responsive.css	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/css/responsive.css	(from https://creativelayers.net/themes/findhouse-html/index.html)
18:47:21	394968/394968	---M-Z	200	added ('OK')	text/css	etag:%226440338-606d8-5fa4ec0e86244-gzip%22	https://creativelayers.net/themes/findhouse-html/css/style.css	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/css/style.css	(from https://creativelayers.net/themes/findhouse-html/index.html)
18:47:22	3358/3358	---M--	200	added ('OK')	image/png	etag:%226440382-d1e-5fa4ec1e99b8f%22	https://creativelayers.net/themes/findhouse-html/images/header-logo.png	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/images/header-logo.png	(from https://creativelayers.net/themes/findhouse-html/index.html)
18:47:22	106557/106557	---M--	200	added ('OK')	image/x-icon	etag:%22644037c-1a03d-5fa4ec1d98a2d%22	https://creativelayers.net/themes/findhouse-html/images/favicon.ico	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/images/favicon.ico	(from https://creativelayers.net/themes/findhouse-html/index.html)
18:47:22	2046/2046	---M--	200	added ('OK')	image/png	etag:%226440380-7fe-5fa4ec1e3cb3d%22	https://creativelayers.net/themes/findhouse-html/images/header-logo2.png	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/images/header-logo2.png	(from https://creativelayers.net/themes/findhouse-html/index.html)
18:47:22	113128/113128	---M-Z	200	added ('OK')	text/html	etag:%226440005-1b9e8-5fa4ebff31ba5-gzip%22	https://creativelayers.net/themes/findhouse-html/index2.html	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/index2.html	(from https://creativelayers.net/themes/findhouse-html/index.html)
18:47:23	83479/83479	---M-Z	200	added ('OK')	text/html	etag:%226440009-14617-5fa4ebff64c12-gzip%22	https://creativelayers.net/themes/findhouse-html/index3.html	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/index3.html	(from https://creativelayers.net/themes/findhouse-html/index.html)
18:47:23	93551/93551	---M-Z	200	added ('OK')	text/html	etag:%226440023-16d6f-5fa4ebff8d86e-gzip%22	https://creativelayers.net/themes/findhouse-html/index4.html	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/index4.html	(from https://creativelayers.net/themes/findhouse-html/index.html)
18:47:23	71574/71574	---M-Z	200	added ('OK')	text/html	etag:%226440025-11796-5fa4ebffbe99b-gzip%22	https://creativelayers.net/themes/findhouse-html/index5.html	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/index5.html	(from https://creativelayers.net/themes/findhouse-html/index.html)
18:47:23	81359/81359	---M-Z	200	added ('OK')	text/html	etag:%226440028-13dcf-5fa4ebffe52cf-gzip%22	https://creativelayers.net/themes/findhouse-html/index6.html	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/index6.html	(from https://creativelayers.net/themes/findhouse-html/index.html)
18:47:23	53564/53564	---M-Z	200	added ('OK')	text/html	etag:%226440035-d13c-5fa4ec0012964-gzip%22	https://creativelayers.net/themes/findhouse-html/index7.html	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/index7.html	(from https://creativelayers.net/themes/findhouse-html/index.html)
18:47:24	75858/75858	---M-Z	200	added ('OK')	text/html	etag:%22644003e-12852-5fa4ec00455e9-gzip%22	https://creativelayers.net/themes/findhouse-html/index8.html	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/index8.html	(from https://creativelayers.net/themes/findhouse-html/index.html)
18:47:24	62155/62155	---M-Z	200	added ('OK')	text/html	etag:%226440046-f2cb-5fa4ec006f5cd-gzip%22	https://creativelayers.net/themes/findhouse-html/index9.html	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/index9.html	(from https://creativelayers.net/themes/findhouse-html/index.html)
18:47:24	84151/84151	---M-Z	200	added ('OK')	text/html	etag:%226440049-148b7-5fa4ec00a4d4b-gzip%22	https://creativelayers.net/themes/findhouse-html/index10.html	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/index10.html	(from https://creativelayers.net/themes/findhouse-html/index.html)
18:47:24	79811/79811	---M-Z	200	added ('OK')	text/html	etag:%226440120-137c3-5fa4ec03f5f91-gzip%22	https://creativelayers.net/themes/findhouse-html/page-listing-grid-v1.html	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/page-listing-grid-v1.html	(from https://creativelayers.net/themes/findhouse-html/index.html)
18:47:25	59361/59361	---M-Z	200	added ('OK')	text/html	etag:%22644012d-e7e1-5fa4ec03ff7ea-gzip%22	https://creativelayers.net/themes/findhouse-html/page-listing-grid-v2.html	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/page-listing-grid-v2.html	(from https://creativelayers.net/themes/findhouse-html/index.html)
18:47:25	64139/64139	---M-Z	200	added ('OK')	text/html	etag:%226440134-fa8b-5fa4ec045436b-gzip%22	https://creativelayers.net/themes/findhouse-html/page-listing-grid-v3.html	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/page-listing-grid-v3.html	(from https://creativelayers.net/themes/findhouse-html/index.html)
18:47:25	61696/61696	---M-Z	200	added ('OK')	text/html	etag:%22644013b-f100-5fa4ec045bc83-gzip%22	https://creativelayers.net/themes/findhouse-html/page-listing-grid-v4.html	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/page-listing-grid-v4.html	(from https://creativelayers.net/themes/findhouse-html/index.html)
18:47:25	79806/79806	---M-Z	200	added ('OK')	text/html	etag:%22644014c-137be-5fa4ec04add0c-gzip%22	https://creativelayers.net/themes/findhouse-html/page-listing-grid-v5.html	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/page-listing-grid-v5.html	(from https://creativelayers.net/themes/findhouse-html/index.html)
18:47:26	61056/61056	---M-Z	200	added ('OK')	text/html	etag:%22644011b-ee80-5fa4ec03abc09-gzip%22	https://creativelayers.net/themes/findhouse-html/page-listing-full-width-grid.html	D:/Rakesh%20Backup/maxtra/Investor_%20guru/creativelayers.net/themes/findhouse-html/page-listing-full-width-grid.html	(from https://creativelayers.net/themes/findhouse-html/index.html)
